Date,Location,Hum,Hum5,Hum10,Hum15,Hum20,Hum25,Hum30,Raf,Raf5,Raf10,Raf15,Raf20,Raf25,Raf30,RfD,RfD5,RfD10,RfD15,RfD20,RfD25,RfD30,Tav,Tav5,Tav10,Tav15,Tav20,Tav25,Tav30,Tmi,Tmi5,Tmi10,Tmi15,Tmi20,Tmi25,Tmi30,Tmx,Tmx5,Tmx10,Tmx15,Tmx20,Tmx25,Tmx30,LandUse,Mosq
2014.6.17,Yunjoong/ElementrySchool,71.8,360.8,731.1,1079.1,1345.4,1678.4,1907.6,0,1.5,34,73,73,88,88,0,0,3,4,5,7,7,24.7,110.8,222.7,334.7,458.4,564,646.2,21,91,185,281.1,377.1,462.5,522.5,30.2,136.4,275.4,409,565,698,805.5,1,9
2014.6.18,Yunjoong/ElementrySchool,71.3,358.7,737.8,1077.4,1356.4,1681.8,1924.3,0,0,34,70.5,73,88,88,0,0,3,3,5,7,7,24.4,114.5,223.5,336.9,459,567.5,650.6,21.2,95.2,186.2,282.3,378.4,466.6,529.3,29.2,139.5,276.9,414,564.9,701.4,809.6,1,6
2014.6.19,Yunjoong/ElementrySchool,79.3,351,733.8,1053.4,1373.1,1684.3,1950.2,0,0,34,34,73,88,88,0,0,3,3,5,6,7,22.5,117.8,226.4,342.8,460.3,570.6,653.3,20.3,98.3,188.1,286.1,382.1,471.4,533.6,26.5,143.3,280.6,421.6,563.4,703.2,811,1,6
2014.6.20,Yunjoong/ElementrySchool,76.5,358.7,742.3,1071.2,1409.9,1684.7,1964.2,1,0,34,34,73,73.5,88,1,1,3,4,6,6,8,24.3,118,226.1,342.4,457.2,572.3,656.5,20.5,100.5,190.1,287.9,384.6,473.4,538.8,28.6,142.4,278.7,419.5,558.2,704,811.9,1,7
2014.6.21,Yunjoong/ElementrySchool,80.9,365.3,746.8,1088.9,1436.1,1693.8,1977.3,7.5,1,32,35,74,74,89,1,2,3,5,7,7,9,22.9,119.6,226.9,343.4,455.6,577.4,659.9,19.6,101.9,191.4,287.9,384.3,477.8,545.5,28.4,143,278,421.4,553.8,708.5,812.5,1,10
2014.6.22,Yunjoong/ElementrySchool,74.4,379.8,740.6,1110.9,1458.9,1725.2,1989.8,0,8.5,10,42.5,81.5,81.5,96.5,0,2,2,5,6,7,9,23.9,118.8,229.6,341.5,453.5,577.2,661.6,20.7,102.6,193.6,287.6,383.7,479.7,548.2,28.8,142.9,279.3,418.3,551.9,707.9,814.1,1,10
2014.6.23,Yunjoong/ElementrySchool,91.4,382.4,741.1,1120.2,1459.8,1738.8,1995.4,13,8.5,8.5,42.5,79,81.5,96.5,1,3,3,6,6,8,9,21.6,118,232.5,341.5,454.9,577,664.2,19.2,102.3,197.5,288.5,384.6,480.7,552.5,25.9,141.5,281,418.4,555.5,706.4,815.5,1,2
2014.6.24,Yunjoong/ElementrySchool,74.6,402.5,753.5,1136.3,1455.9,1775.6,2007.9,0,21.5,21.5,55.5,55.5,94.5,95,0,3,3,6,6,8,8,23.1,115.2,233,341.6,458,575.5,665,19.7,100.3,198.6,288.4,386.4,482.4,553.4,27.5,138.2,281.5,418.8,559.8,701.6,815.7,1,10
2014.6.25,Yunjoong/ElementrySchool,74.1,397.8,756.5,1140.1,1469,1807.7,2015.1,0,21.5,21.5,55.5,55.5,94.5,94.5,0,2,3,5,6,8,8,24.1,115.8,233.8,341.9,458.2,573,668.9,20.1,99.7,200.2,289.8,387.6,484.3,557,28.4,139.2,281.6,417.9,558.7,697.4,819.1,1,5
2014.6.26,Yunjoong/ElementrySchool,68,395.4,760.7,1142.2,1484.3,1831.5,2039.7,0,20.5,21.5,52.5,55.5,94.5,94.5,0,1,3,4,6,8,8,25,115.6,235.2,342.5,459,571.2,669.9,20.6,99.3,201.2,290.7,387.2,483.6,559.4,30,139,282,417,560.4,692.8,818.5,1,10
