,2012-06-15,2012-06-14,2012-06-13,2012-06-12,2012-06-11,2012-06-10,2012-06-09,2012-06-08,2012-06-07,2012-06-06,2012-06-05,2012-06-04,2012-06-03,2012-06-02,2012-06-01,2012-05-31,2012-05-30,2012-05-29,2012-05-28,2012-05-27,2012-05-26,2012-05-25,2012-05-24,2012-05-23,2012-05-22,2012-05-21,2012-05-20,2012-05-19,2012-05-18,2012-05-17,2012-05-16
hum,0.528,0.491,0.531,0.589,0.594,0.588,0.595,0.664,0.628,0.62,0.626,0.35100000000000003,0.389,0.44799999999999995,0.523,0.586,0.444,0.408,0.58,0.6559999999999999,0.44799999999999995,0.45399999999999996,0.53,0.395,0.34600000000000003,0.348,0.391,0.38,0.514,0.5660000000000001,0.586
hum5,0.5586,0.5794,0.606,0.6138,0.619,0.6266,0.5778,0.5228,0.4868,0.4674,0.4594,0.478,0.4818,0.5082,0.5348,0.5072,0.5092,0.5336,0.4966,0.4346,0.4146,0.402,0.37200000000000005,0.3958,0.4398,0.4874,0.5398,0.6214,0.6246,0.6272,0.6208
hum10,0.5926,0.5786,0.5644,0.5503,0.5432,0.5429999999999999,0.5279,0.5023,0.4975,0.5011,0.4833,0.4936,0.5077,0.5024,0.4847,0.4609,0.4556,0.4528,0.4462,0.4372,0.451,0.4709,0.4967,0.5102,0.5335,0.5541,0.5601,0.5675,0.5436,0.5203,0.4936
hum15,0.5482,0.5450666670000001,0.5368666670000001,0.536266667,0.5404,0.531066667,0.5216666670000001,0.512733333,0.4972,0.47893333299999996,0.4604,0.46306666700000004,0.46246666700000005,0.466866667,0.469733333,0.469733333,0.48366666700000005,0.509,0.5056666670000001,0.500533333,0.5076,0.5074,0.5023333329999999,0.494333333,0.493466667,0.49153333299999996,0.493733333,0.500933333,0.5025333329999999,0.496333333,0.488
hum20,0.53795,0.5361,0.53605,0.52635,0.51395,0.50195,0.49175,0.47755,0.47185,0.46915,0.46715,0.48225,0.5022,0.5063,0.5091,0.5075,0.50785,0.51015,0.4949,0.47875,0.4723,0.4708,0.4687,0.47585,0.4822,0.48785,0.48995,0.4995,0.495,0.4827,0.4801
hum25,0.5132800000000001,0.5092800000000001,0.5032399999999999,0.50024,0.49912,0.49904,0.50136,0.50632,0.5024,0.50076,0.49788000000000004,0.50188,0.50448,0.49756000000000006,0.48996000000000006,0.47928000000000004,0.47848,0.48168,0.48,0.47268000000000004,0.4732,0.47236000000000006,0.474,0.47516,0.47412,0.48156000000000004,0.49504,0.5039600000000001,0.5162399999999999,0.5301600000000001,0.53576
hum30,0.48943333299999997,0.4926,0.496666667,0.5033,0.501166667,0.500866667,0.4995,0.4924,0.4866,0.4751,0.46533333299999996,0.464266667,0.46543333299999995,0.466766667,0.467266667,0.4635,0.46406666700000004,0.4649,0.4646,0.456866667,0.4526,0.455266667,0.461866667,0.4688,0.48463333299999994,0.5035,0.5146666670000001,0.514966667,0.5092,0.5011,0.49426666700000005
raf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333,0.003333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
raf5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003666667,0.004333333,0.004333333,0.004333333,0.004333333,0.000666667,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.009333333000000001,0.009333333000000001,0.005333333000000001,0.005333333000000001
raf10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001833333,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.00033333300000000006,0.002,0.002,0.002,0.004666667,0.004666667,0.004666667,0.004666667,0.004666667,0.004666667,0.004666667,0.002666667,0.002666667
raf15,0.0,0.0,0.0,0.001222222,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.002777778,0.002777778,0.002777778,0.004555556,0.003333333,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0017777779999999998,0.0017777779999999998
raf20,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0020833329999999997,0.0020833329999999997,0.0020833329999999997,0.003416667,0.003416667,0.003416667,0.003416667,0.003416667,0.003416667,0.0025,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.001333333,0.001583333
raf25,0.000866667,0.000866667,0.000866667,0.000866667,0.0016666670000000001,0.0016666670000000001,0.0016666670000000001,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.002,0.001866667,0.001866667,0.001866667,0.001866667,0.001866667,0.001866667,0.0020666670000000003,0.005466667,0.005466667,0.005466667,0.0058,0.012333333
