,2011-08-12,2011-08-11,2011-08-10,2011-08-09,2011-08-08,2011-08-07,2011-08-06,2011-08-05,2011-08-04,2011-08-03,2011-08-02,2011-08-01,2011-07-31,2011-07-30,2011-07-29,2011-07-28,2011-07-27,2011-07-26,2011-07-25,2011-07-24,2011-07-23,2011-07-22,2011-07-21,2011-07-20,2011-07-19,2011-07-18,2011-07-17,2011-07-16,2011-07-15,2011-07-14,2011-07-13
hum,0.865,0.789,0.81,0.763,0.848,0.639,0.675,0.6779999999999999,0.863,0.83,0.775,0.8109999999999999,0.878,0.753,0.816,0.89,0.9209999999999999,0.81,0.853,0.816,0.763,0.71,0.48,0.503,0.555,0.628,0.825,0.9109999999999999,0.894,0.895,0.856
hum5,0.7698,0.747,0.7206,0.7406,0.737,0.7642,0.7914,0.8314,0.8094,0.8066,0.8296,0.8516,0.838,0.858,0.858,0.8326,0.7904,0.7244,0.6544,0.6022,0.5752,0.5982,0.6844,0.7626,0.8306,0.8762,0.887,0.8854,0.8674,0.8554,0.8524
hum10,0.767,0.7692,0.7759999999999999,0.775,0.7718,0.7969,0.8215,0.8347,0.8337,0.8323,0.8311,0.821,0.7812,0.7562,0.7301,0.7039,0.6943,0.7044,0.7085,0.7164,0.7257,0.7426,0.7849,0.815,0.843,0.8643,0.8667,0.8365,0.8117,0.799,0.8055
hum15,0.7878666670000001,0.796666667,0.796666667,0.802666667,0.800533333,0.8088,0.811133333,0.797933333,0.773933333,0.7556,0.7458,0.746733333,0.748933333,0.7583333329999999,0.7636,0.761333333,0.7585333329999999,0.764733333,0.761466667,0.762733333,0.767933333,0.7772,0.7858,0.795333333,0.809533333,0.829066667,0.8289333329999999,0.8208,0.819466667,0.821333333,0.809133333
hum20,0.79905,0.7951,0.7786,0.7656,0.75095,0.7504,0.7579,0.76955,0.7711,0.77435,0.7784,0.7818,0.78305,0.7856,0.78655,0.7841,0.7805,0.77045,0.7601,0.7577,0.7656,0.77125,0.7867,0.80525,0.82365,0.8259,0.8276,0.8231,0.82085,0.82055,0.8239
hum25,0.7542800000000001,0.75572,0.75976,0.765,0.76688,0.77556,0.78372,0.79272,0.7903600000000001,0.79056,0.7932,0.79472,0.78396,0.77968,0.77776,0.779,0.77508,0.7742399999999999,0.77508,0.77936,0.77576,0.78172,0.7953600000000001,0.8092,0.8225600000000001,0.83436,0.8348,0.82232,0.8075600000000001,0.79192,0.77868
hum30,0.746066667,0.7483,0.7506,0.755266667,0.7538,0.760333333,0.7658666670000001,0.771566667,0.7631,0.756966667,0.756733333,0.7604,0.7585666670000001,0.7597666670000001,0.7617,0.7628,0.7545333329999999,0.756166667,0.7551,0.7562,0.7604,0.7675,0.779366667,0.782566667,0.781566667,0.777433333,0.7674333329999999,0.7514,0.736033333,0.7231333329999999,0.7138
raf,0.055,0.0,0.0,0.0,0.123333333,0.016666667,0.0,0.0,0.06333333299999999,0.021666667,0.003333333,0.0,0.263333333,0.0,0.065,0.3,0.888333333,0.35,0.013333333000000001,0.018333333,0.0,0.0016666670000000001,0.0,0.0,0.0,0.0,0.0,0.131666667,0.08833333300000001,0.125,0.078333333
raf5,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.040666667000000004,0.020333333000000002,0.017666667,0.017666667,0.070333333,0.057666667000000005,0.066333333,0.12566666699999998,0.303333333,0.320666667,0.323333333,0.314,0.254,0.07666666700000001,0.006666666999999999,0.004,0.00033333300000000006,0.00033333300000000006,0.0,0.026333332999999997,0.044000000000000004,0.069,0.08466666699999999,0.11533333300000001,0.12066666699999999,0.105,0.09966666699999999,0.094666667
raf10,0.022833332999999997,0.022833332999999997,0.049166667000000004,0.049166667000000004,0.043333332999999995,0.071666667,0.1605,0.1955,0.1905,0.19016666699999998,0.18983333300000002,0.19,0.163666667,0.163666667,0.15716666699999998,0.12716666699999998,0.038333333,0.0165,0.024,0.034666667000000005,0.0425,0.057666667000000005,0.0735,0.0745,0.08433333300000001,0.08966666699999999,0.105833333,0.092666667,0.083833333,0.071333333,0.110166667
