,2012-10-12,2012-10-11,2012-10-10,2012-10-09,2012-10-08,2012-10-07,2012-10-06,2012-10-05,2012-10-04,2012-10-03,2012-10-02,2012-10-01,2012-09-30,2012-09-29,2012-09-28,2012-09-27,2012-09-26,2012-09-25,2012-09-24,2012-09-23,2012-09-22,2012-09-21,2012-09-20,2012-09-17,2012-09-16,2012-09-15,2012-09-14,2012-09-13,2012-09-12
hum,0.518,0.474,0.696,0.6,0.53,0.5489999999999999,0.529,0.614,0.616,0.604,0.643,0.643,0.638,0.588,0.723,0.62,0.6,0.523,0.498,0.5660000000000001,0.606,0.6829999999999999,0.696,0.868,0.601,0.568,0.685,0.871,0.6890000000000001
hum5,0.5698,0.5808,0.5644,0.5676,0.5824,0.6012,0.624,0.6288,0.6232,0.647,0.6424,0.6338,0.6108,0.5928,0.5614,0.5586,0.5752,0.6098,0.638,0.6636,0.716,0.6996,0.674,0.6828,0.6688,0.6779999999999999,0.6778,0.6472,0.6306
hum10,0.5855,0.6024,0.5966,0.5954,0.6147,0.6218,0.6289,0.6198,0.608,0.6042,0.6005,0.6045,0.6103,0.6154,0.6125,0.6373,0.6374,0.6419,0.6606,0.6911,0.6994,0.6842,0.6759999999999999,0.6567,0.6495,0.6538,0.6694,0.6537,0.6499
hum15,0.6044666670000001,0.612866667,0.601333333,0.594533333,0.596933333,0.600733333,0.611,0.6164666670000001,0.618,0.624,0.639,0.6362,0.6315333329999999,0.638,0.6478666670000001,0.652466667,0.6478666670000001,0.653933333,0.666333333,0.676466667,0.676466667,0.6662,0.660533333,0.6608666670000001,0.6668,0.672666667,0.6842,0.6729999999999999,0.6734
hum20,0.593,0.60345,0.60345,0.6054,0.6136,0.62955,0.63315,0.63085,0.6343,0.64765,0.64995,0.64435,0.64315,0.64795,0.6477,0.647,0.64345,0.64785,0.665,0.6724,0.67465,0.675,0.6729999999999999,0.67575,0.67565,0.6834,0.6892,0.68065,0.68035
hum25,0.6176,0.62268,0.61756,0.6209600000000001,0.6346,0.6402,0.6402800000000001,0.6402800000000001,0.643,0.64756,0.64608,0.64152,0.64044,0.65056,0.6502,0.65144,0.65504,0.6603600000000001,0.67476,0.68024,0.6838,0.6804399999999999,0.68152,0.68084,0.6890000000000001,0.70044,0.708,0.70348,0.70804
hum30,0.6055,0.612666667,0.607166667,0.607633333,0.612766667,0.6184,0.620966667,0.618133333,0.617966667,0.625866667,0.628233333,0.6285,0.630233333,0.6325,0.637,0.6397666670000001,0.642933333,0.645466667,0.6529666670000001,0.6608,0.663933333,0.663933333,0.667566667,0.6770666670000001,0.6838,0.689533333,0.689633333,0.6899333329999999,0.6884
raf,0.0,0.0,0.0016666670000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666670000000001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.008333333,0.0,0.008333333,0.035,0.0
raf5,0.00033333300000000006,0.00033333300000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.00033333300000000006,0.010333333,0.010333333,0.010333333,0.010333333,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.068666667,0.068666667,0.010333333,0.008666667,0.008666667,0.006999999999999999,0.018666666999999998,0.023333332999999998
raf10,0.000166667,0.000166667,0.0,0.000166667,0.005166667,0.005166667,0.005166667,0.005166667,0.005166667,0.005166667,0.005166667,0.005166667,0.005166667,0.005,0.0,0.0335,0.034333333,0.034333333,0.035166667,0.038666667,0.038666667,0.038666667,0.038666667,0.016833333,0.016,0.018833333,0.049833333,0.0465,0.0465
raf15,0.0035555559999999996,0.0035555559999999996,0.003444444,0.003444444,0.003444444,0.003444444,0.003444444,0.003444444,0.003444444,0.003444444,0.025777777999999998,0.026333332999999997,0.026333332999999997,0.026777778,0.025777777999999998,0.025777777999999998,0.025777777999999998,0.025777777999999998,0.025777777999999998,0.032,0.033555556,0.033555556,0.035444444,0.034444444,0.034,0.034,0.042888889000000006,0.041666667000000004,0.045
raf20,0.002666667,0.002666667,0.0025833329999999997,0.0025833329999999997,0.0025833329999999997,0.019333333,0.01975,0.01975,0.020166667,0.021916667,0.021916667,0.021916667,0.021916667,0.021833332999999996,0.024,0.025166667,0.025166667,0.026583332999999997,0.0425,0.042583333,0.042583333,0.042666667,0.042666667,0.036333332999999995,0.035916667,0.035916667,0.037916667,0.037583333,0.037583333
raf25,0.015533333,0.015866667,0.0158,0.016133333,0.017533333,0.017533333,0.017533333,0.017533333,0.017533333,0.021266667000000003,0.0222,0.0222,0.023333332999999998,0.036000000000000004,0.034066667,0.034066667,0.034133332999999995,0.034133332999999995,0.0398,0.040466667000000005,0.042466667,0.042466667,0.042466667,0.032133333,0.035066667,0.0562,0.065866667,0.065,0.065133333
raf30,0.014666667,0.014666667,0.014611111000000001,0.014611111000000001,0.014611111000000001,0.017722222,0.0185,0.0185,0.019444443999999998,0.030055556,0.030111111,0.030111111,0.030166667,0.030111111,0.033166667000000004,0.033722222,0.035388889,0.035388889,0.035388889,0.037000000000000005,0.037944444,0.037944444,0.040666667000000004,0.055888889000000004,0.055722222,0.055722222,0.055444444,0.073833333,0.075222222
rfd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
rfd5,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.8,0.6,0.4,0.4,0.2,0.2
rfd10,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.0,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5
rfd15,0.2,0.2,0.2,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.2,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.333333333,0.4,0.4,0.6,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333
rfd20,0.15,0.15,0.15,0.1,0.1,0.1,0.15,0.2,0.2,0.25,0.3,0.3,0.3,0.3,0.25,0.25,0.3,0.3,0.35,0.4,0.45,0.45,0.5,0.6,0.6,0.55,0.55,0.55,0.55
rfd25,0.12,0.16,0.2,0.16,0.2,0.24,0.24,0.24,0.24,0.24,0.28,0.32,0.32,0.36,0.36,0.36,0.36,0.4,0.4,0.44,0.48,0.52,0.52,0.6,0.56,0.56,0.6,0.6,0.6
rfd30,0.2,0.233333333,0.233333333,0.2,0.2,0.2,0.233333333,0.26666666699999997,0.26666666699999997,0.3,0.333333333,0.36666666700000006,0.36666666700000006,0.4,0.36666666700000006,0.36666666700000006,0.4,0.433333333,0.433333333,0.433333333,0.46666666700000003,0.5,0.5,0.6,0.6,0.6,0.6,0.566666667,0.566666667
tav,0.51,0.49,0.526666667,0.54,0.563333333,0.565,0.576666667,0.571666667,0.571666667,0.585,0.571666667,0.551666667,0.523333333,0.528333333,0.561666667,0.586666667,0.6033333329999999,0.6166666670000001,0.6083333329999999,0.605,0.601666667,0.588333333,0.585,0.538333333,0.583333333,0.6,0.576666667,0.585,0.6233333329999999
tav5,0.537,0.554333333,0.563333333,0.569666667,0.574,0.575333333,0.570333333,0.560666667,0.552,0.547333333,0.550333333,0.560666667,0.579333333,0.595333333,0.604,0.607,0.604,0.597666667,0.594666667,0.593666667,0.581,0.58,0.583,0.593666667,0.6033333329999999,0.6103333329999999,0.616,0.6176666670000001,0.6176666670000001
tav10,0.5561666670000001,0.562333333,0.562,0.5608333329999999,0.560666667,0.5628333329999999,0.5655,0.57,0.573666667,0.575666667,0.578666667,0.582333333,0.5885,0.595,0.598833333,0.594,0.5920000000000001,0.590333333,0.587166667,0.5851666670000001,0.587333333,0.591666667,0.596666667,0.605666667,0.608833333,0.6113333329999999,0.6145,0.623166667,0.627166667
tav15,0.554222222,0.561777778,0.567777778,0.572333333,0.575111111,0.577555556,0.578333333,0.5792222220000001,0.580666667,0.581666667,0.579444444,0.581555556,0.586666667,0.589888889,0.591444444,0.593888889,0.595777778,0.597,0.596777778,0.596,0.597444444,0.5992222220000001,0.601888889,0.616,0.6216666670000001,0.624888889,0.626888889,0.633444444,0.637444444
tav20,0.567416667,0.572333333,0.57525,0.577916667,0.57975,0.578416667,0.57875,0.5801666670000001,0.580416667,0.580416667,0.583,0.5870000000000001,0.592583333,0.5964166670000001,0.598,0.599833333,0.6004166670000001,0.600833333,0.600833333,0.604166667,0.60725,0.61125,0.6144166670000001,0.6265,0.6333333329999999,0.63875,0.6435,0.646083333,0.6466666670000001
tav25,0.570133333,0.573866667,0.5768,0.5782666670000001,0.5791333329999999,0.581466667,0.583666667,0.5862,0.587533333,0.587866667,0.589933333,0.5924666670000001,0.596533333,0.599733333,0.6041333329999999,0.6072,0.6098,0.611066667,0.611,0.614133333,0.6174,0.6226666670000001,0.6276,0.636066667,0.6376666670000001,0.640466667,0.644,0.649133333,0.652466667
tav30,0.561611111,0.566055556,0.569555556,0.572722222,0.574111111,0.575055556,0.5766111110000001,0.578055556,0.579833333,0.5806111110000001,0.583944444,0.587666667,0.5925,0.5965,0.598,0.6012222220000001,0.603888889,0.6073333329999999,0.610666667,0.6128888889999999,0.6140555560000001,0.615611111,0.6168888889999999,0.627444444,0.631555556,0.635333333,0.638833333,0.640944444,0.643277778
",tmi",0.415,0.425,0.475,0.48666666700000005,0.5016666670000001,0.498333333,0.523333333,0.5066666670000001,0.5016666670000001,0.505,0.498333333,0.47333333299999997,0.451666667,0.49166666700000006,0.5166666670000001,0.55,0.533333333,0.538333333,0.528333333,0.53,0.518333333,0.545,0.515,0.5216666670000001,0.545,0.536666667,0.525,0.556666667,0.586666667
tmi5,0.47733333299999997,0.49700000000000005,0.5033333329999999,0.5063333329999999,0.507,0.507,0.49700000000000005,0.486,0.484,0.486333333,0.496666667,0.5086666670000001,0.526,0.533333333,0.536,0.529666667,0.532,0.527333333,0.53,0.5329999999999999,0.533666667,0.533666667,0.5379999999999999,0.55,0.551666667,0.556,0.560333333,0.557666667,0.55
tmi10,0.492166667,0.49700000000000005,0.494666667,0.495166667,0.496666667,0.501833333,0.502833333,0.506,0.5086666670000001,0.511166667,0.513166667,0.520333333,0.526666667,0.531666667,0.5345,0.531666667,0.532833333,0.532666667,0.532333333,0.535,0.5418333329999999,0.542666667,0.547,0.55,0.548166667,0.551333333,0.5545,0.5611666670000001,0.5625
tmi15,0.493666667,0.500888889,0.5051111110000001,0.507888889,0.509777778,0.5111111110000001,0.512555556,0.5131111110000001,0.515777778,0.518444444,0.52,0.5247777779999999,0.530444444,0.532666667,0.535333333,0.5377777779999999,0.539111111,0.540444444,0.541666667,0.542555556,0.544555556,0.543333333,0.546888889,0.558333333,0.5635555560000001,0.564777778,0.567666667,0.571555556,0.5734444439999999
tmi20,0.5026666670000001,0.5086666670000001,0.5106666670000001,0.513416667,0.5155833329999999,0.51675,0.517833333,0.519333333,0.5205,0.523083333,0.5275,0.5315,0.536833333,0.5395833329999999,0.5409166670000001,0.5408333329999999,0.5405,0.542,0.543416667,0.548083333,0.552166667,0.556083333,0.558083333,0.567583333,0.5731666670000001,0.5791666670000001,0.5835,0.58575,0.5865
tmi25,0.508866667,0.5136666670000001,0.516133333,0.5176666670000001,0.5198666670000001,0.5234,0.5246,0.526666667,0.528466667,0.53,0.532,0.534133333,0.5388,0.5414,0.545666667,0.547666667,0.551266667,0.5519333329999999,0.553533333,0.5569333329999999,0.5608,0.5652666670000001,0.5709333329999999,0.5792,0.580866667,0.5848,0.5896,0.5944666670000001,0.598333333
tmi30,0.5045,0.509888889,0.5125,0.514888889,0.516388889,0.517888889,0.5187222220000001,0.519388889,0.521611111,0.523333333,0.5275,0.5317222220000001,0.537444444,0.539555556,0.541277778,0.543444444,0.546166667,0.550111111,0.5543888889999999,0.557111111,0.559888889,0.561777778,0.5641666670000001,0.575833333,0.580444444,0.5845,0.587833333,0.59,0.591611111
tmx,0.6033333329999999,0.56,0.61,0.615,0.65,0.66,0.653333333,0.6316666670000001,0.648333333,0.681666667,0.666666667,0.6366666670000001,0.591666667,0.575,0.6366666670000001,0.643333333,0.671666667,0.706666667,0.708333333,0.695,0.686666667,0.663333333,0.655,0.561666667,0.6183333329999999,0.67,0.625,0.625,0.671666667
tmx5,0.619,0.6376666670000001,0.642,0.648666667,0.655,0.656333333,0.653,0.645,0.6303333329999999,0.6213333329999999,0.6166666670000001,0.6236666670000001,0.6466666670000001,0.673333333,0.685,0.693666667,0.6920000000000001,0.681666667,0.673666667,0.669666667,0.6446666670000001,0.6356666670000001,0.6386666670000001,0.642,0.662,0.671666667,0.681333333,0.685666667,0.691666667
tmx10,0.6376666670000001,0.645333333,0.6435,0.6395,0.638166667,0.6365,0.638333333,0.645833333,0.651833333,0.653166667,0.655166667,0.657833333,0.664166667,0.6735,0.677333333,0.669166667,0.663833333,0.660166667,0.651833333,0.644833333,0.643333333,0.648833333,0.655166667,0.6668333329999999,0.6745,0.677166667,0.6811666670000001,0.6918333329999999,0.698833333
