,2012-05-23,2012-05-22,2012-05-21,2012-05-20,2012-05-19,2012-05-18,2012-05-17,2012-05-16,2012-05-15,2012-05-14,2012-05-11,2012-05-10,2012-05-09,2012-05-08,2012-05-07
tmi10,0.491333333,0.485,0.4795,0.48066666700000005,0.48200000000000004,0.487333333,0.48700000000000004,0.487833333,0.489333333,0.4895,0.5075,0.5065,0.506833333,0.5053333329999999,0.498666667
tmi15,0.492888889,0.48666666700000005,0.48166666700000005,0.48022222200000003,0.482444444,0.488333333,0.496,0.501555556,0.5041111110000001,0.503111111,0.48966666700000006,0.48311111100000004,0.480888889,0.475,0.47044444399999996
tmi20,0.49225,0.4935,0.4935,0.49358333299999996,0.49441666700000003,0.496333333,0.492833333,0.48966666700000006,0.48716666700000005,0.48458333299999995,0.471583333,0.47016666700000004,0.4685,0.4635,0.4595
tmi25,0.49786666700000004,0.491466667,0.4856,0.482133333,0.481333333,0.47993333299999996,0.47706666700000006,0.4752,0.47600000000000003,0.47393333299999996,0.46073333299999997,0.45446666700000005,0.449533333,0.444533333,0.4398
tmi30,0.478555556,0.473888889,0.46866666700000004,0.465888889,0.46616666700000003,0.46644444399999996,0.46438888899999997,0.46155555600000003,0.458444444,0.45338888899999996,0.440111111,0.436555556,0.43527777799999995,0.433166667,0.429388889
tmx,0.715,0.7383333329999999,0.735,0.72,0.671666667,0.655,0.593333333,0.62,0.6166666670000001,0.551666667,0.583333333,0.696666667,0.701666667,0.72,0.67
tmx5,0.7040000000000001,0.675,0.652,0.6313333329999999,0.6073333329999999,0.6093333329999999,0.6133333329999999,0.606,0.622,0.652,0.688333333,0.682666667,0.6779999999999999,0.6709999999999999,0.686333333
tmx10,0.656666667,0.644166667,0.629,0.6266666670000001,0.6296666670000001,0.636166667,0.643833333,0.647166667,0.652333333,0.665,0.6940000000000001,0.698666667,0.6968333329999999,0.687,0.6831666670000001
tmx15,0.6587777779999999,0.654222222,0.6487777779999999,0.645333333,0.645777778,0.6477777779999999,0.6579999999999999,0.664666667,0.673111111,0.6818888890000001,0.677555556,0.673222222,0.673111111,0.662666667,0.648555556
tmx20,0.661833333,0.66225,0.6615,0.662666667,0.66325,0.6615833329999999,0.6635,0.659666667,0.660416667,0.6678333329999999,0.652833333,0.650833333,0.649083333,0.6436666670000001,0.639333333
tmx25,0.6700666670000001,0.6658,0.658133333,0.6546,0.6557333329999999,0.652066667,0.6466666670000001,0.643466667,0.645066667,0.649666667,0.6454,0.6424,0.6356,0.6272,0.619266667
tmx30,0.650277778,0.644444444,0.635222222,0.629222222,0.628722222,0.6291111110000001,0.629722222,0.6285,0.626611111,0.6289444439999999,0.6173333329999999,0.612777778,0.607555556,0.604555556,0.601055556
landuse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
