,2012-06-23,2012-06-22,2012-06-21,2012-06-20,2012-06-19,2012-06-18,2012-06-17,2012-06-16,2012-06-15,2012-06-14,2012-06-13,2012-06-12,2012-06-11,2012-06-10,2012-06-09,2012-06-08,2012-06-07,2012-06-06,2012-06-05,2012-06-04,2012-06-03,2012-06-02,2012-06-01,2012-05-31,2012-05-30,2012-05-29,2012-05-28,2012-05-27,2012-05-26,2012-05-25,2012-05-24
hum,0.5579999999999999,0.614,0.5529999999999999,0.491,0.44799999999999995,0.465,0.525,0.613,0.528,0.491,0.531,0.589,0.594,0.588,0.595,0.664,0.628,0.62,0.626,0.35100000000000003,0.389,0.44799999999999995,0.523,0.586,0.444,0.408,0.58,0.6559999999999999,0.44799999999999995,0.45399999999999996,0.53
hum5,0.5142,0.4964,0.5084,0.5158,0.5244,0.5376,0.5504,0.5466,0.5586,0.5794,0.606,0.6138,0.619,0.6266,0.5778,0.5228,0.4868,0.4674,0.4594,0.478,0.4818,0.5082,0.5348,0.5072,0.5092,0.5336,0.4966,0.4346,0.4146,0.402,0.37200000000000005
hum10,0.5259,0.5234,0.5275,0.5372,0.5519,0.5718,0.5821,0.5828,0.5926,0.5786,0.5644,0.5503,0.5432,0.5429999999999999,0.5279,0.5023,0.4975,0.5011,0.4833,0.4936,0.5077,0.5024,0.4847,0.4609,0.4556,0.4528,0.4462,0.4372,0.451,0.4709,0.4967
hum15,0.5526,0.553533333,0.5579999999999999,0.5670000000000001,0.560533333,0.555466667,0.550333333,0.544333333,0.5482,0.5450666670000001,0.5368666670000001,0.536266667,0.5404,0.531066667,0.5216666670000001,0.512733333,0.4972,0.47893333299999996,0.4604,0.46306666700000004,0.46246666700000005,0.466866667,0.469733333,0.469733333,0.48366666700000005,0.509,0.5056666670000001,0.500533333,0.5076,0.5074,0.5023333329999999
hum20,0.54515,0.53685,0.53535,0.5401,0.5399,0.53705,0.5398,0.54195,0.53795,0.5361,0.53605,0.52635,0.51395,0.50195,0.49175,0.47755,0.47185,0.46915,0.46715,0.48225,0.5022,0.5063,0.5091,0.5075,0.50785,0.51015,0.4949,0.47875,0.4723,0.4708,0.4687
hum25,0.5324800000000001,0.53112,0.5352399999999999,0.53352,0.53376,0.5363600000000001,0.5311600000000001,0.52048,0.5132800000000001,0.5092800000000001,0.5032399999999999,0.50024,0.49912,0.49904,0.50136,0.50632,0.5024,0.50076,0.49788000000000004,0.50188,0.50448,0.49756000000000006,0.48996000000000006,0.47928000000000004,0.47848,0.48168,0.48,0.47268000000000004,0.4732,0.47236000000000006,0.474
hum30,0.515,0.5122,0.506933333,0.5021,0.49876666700000005,0.4963,0.491466667,0.48816666700000005,0.48943333299999997,0.4926,0.496666667,0.5033,0.501166667,0.500866667,0.4995,0.4924,0.4866,0.4751,0.46533333299999996,0.464266667,0.46543333299999995,0.466766667,0.467266667,0.4635,0.46406666700000004,0.4649,0.4646,0.456866667,0.4526,0.455266667,0.461866667
raf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333,0.003333333,0.0,0.0,0.0
raf5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003666667,0.004333333,0.004333333,0.004333333,0.004333333,0.000666667,0.0,0.0,0.0,0.0
raf10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001833333,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.002166667,0.00033333300000000006,0.002,0.002,0.002,0.004666667
raf15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001222222,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.001444444,0.002777778,0.002777778,0.002777778,0.004555556,0.003333333,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997
raf20,0.0,0.0,0.0,0.0,0.0,0.0,0.000916667,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0020833329999999997,0.0020833329999999997,0.0020833329999999997,0.003416667,0.003416667,0.003416667,0.003416667,0.003416667,0.003416667,0.0025,0.002333333,0.002333333,0.002333333,0.002333333
raf25,0.0,0.0007333330000000001,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.0016666670000000001,0.0016666670000000001,0.0016666670000000001,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.0027333329999999997,0.002,0.001866667,0.001866667,0.001866667,0.001866667
raf30,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.001388889,0.001388889,0.001388889,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.002277778,0.0016666670000000001,0.001555556,0.001555556,0.001722222,0.004555556
rfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
rfd5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.4,0.2,0.0,0.0,0.0
