,2011-07-12,2011-07-11,2011-07-10,2011-07-09,2011-07-08,2011-07-07,2011-07-06,2011-07-05,2011-07-04,2011-07-03,2011-07-02,2011-07-01,2011-06-28,2011-06-27,2011-06-26,2011-06-25,2011-06-24,2011-06-23,2011-06-22,2011-06-21,2011-06-20,2011-06-19,2011-06-18,2011-06-17,2011-06-16,2011-06-15,2011-06-14,2011-06-13,2011-06-12
hum,0.879,0.903,0.804,0.835,0.841,0.8490000000000001,0.609,0.6459999999999999,0.768,0.9209999999999999,0.823,0.789,0.6729999999999999,0.8590000000000001,0.821,0.8490000000000001,0.889,0.9229999999999999,0.836,0.599,0.525,0.504,0.525,0.43,0.433,0.508,0.5760000000000001,0.6990000000000001,0.495
hum5,0.8464,0.7876,0.7559999999999999,0.7426,0.7586,0.7534,0.7894,0.835,0.866,0.8164,0.8236,0.83,0.8682,0.8636,0.8192,0.7544,0.6774,0.5978,0.5166,0.4834,0.48,0.4944,0.5292,0.5422,0.5472,0.5884,0.6262,0.598,0.5906
hum10,0.7999,0.7885,0.7955,0.8043,0.7875,0.7885,0.8097,0.83,0.8421,0.8423,0.8436,0.8246,0.733,0.6901,0.6513,0.6172,0.5859,0.5635,0.5294,0.5153,0.5342,0.5603,0.5636,0.5664,0.5736,0.5854,0.6046,0.6017,0.6258
hum15,0.8078,0.802333333,0.805333333,0.8089333329999999,0.8144,0.813533333,0.812866667,0.8048,0.7872,0.7608,0.7346,0.710866667,0.6650666670000001,0.6408,0.6166,0.6076,0.599333333,0.575,0.5498,0.543533333,0.550266667,0.567866667,0.577533333,0.597933333,0.6203333329999999,0.6308,0.620133333,0.6004666670000001,0.5994666670000001
hum20,0.82175,0.80655,0.7926,0.77605,0.76025,0.7393,0.7305,0.7236,0.7140000000000001,0.7029,0.6865,0.66995,0.6483,0.62825,0.61245,0.6013,0.59525,0.5826,0.5776,0.5861,0.5931,0.5887,0.58265,0.58515,0.59025,0.5888,0.5807,0.5655,0.5634
hum25,0.76072,0.74192,0.7300800000000001,0.71972,0.71404,0.6998800000000001,0.69384,0.6965600000000001,0.69644,0.68192,0.66732,0.65596,0.63972,0.6348,0.63272,0.62536,0.60644,0.58568,0.57144,0.56888,0.56704,0.5634399999999999,0.55824,0.55916,0.56496,0.57868,0.5915600000000001,0.5877600000000001,0.58432
hum30,0.7078,0.6942,0.682666667,0.678633333,0.6761,0.6664,0.661366667,0.656666667,0.651933333,0.646833333,0.641733333,0.639966667,0.6193,0.6041333329999999,0.592766667,0.5823,0.568633333,0.551666667,0.5369666670000001,0.5321,0.5338666670000001,0.545433333,0.557866667,0.563666667,0.562866667,0.5577333329999999,0.554666667,0.548033333,0.5448
raf,0.15333333300000002,0.15833333300000002,0.01,0.09833333300000001,0.053333333,0.161666667,0.0,0.0,0.0,0.46666666700000003,0.0,0.0,0.005,0.036666667,0.133333333,0.15833333300000002,0.048333333,0.135,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raf5,0.09633333300000001,0.064666667,0.062666667,0.043,0.12566666699999998,0.093333333,0.093333333,0.10366666699999999,0.239333333,0.147,0.15433333300000002,0.18100000000000002,0.10233333300000001,0.109,0.082333333,0.050666667,0.040999999999999995,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raf10,0.094833333,0.079,0.083166667,0.141166667,0.136333333,0.123833333,0.137166667,0.153,0.15783333300000002,0.124666667,0.131666667,0.131666667,0.058166667000000005,0.0545,0.041166667000000004,0.025333333,0.0205,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166667,0.000166667,0.000166667
