,2012-07-12,2012-07-11,2012-07-10,2012-07-09,2012-07-08,2012-07-07,2012-07-06,2012-07-05,2012-07-04,2012-07-03,2012-06-30,2012-06-29,2012-06-28,2012-06-27,2012-06-26,2012-06-25,2012-06-24,2012-06-23,2012-06-22,2012-06-21,2012-06-20,2012-06-19,2012-06-18,2012-06-17,2012-06-16,2012-06-15,2012-06-14,2012-06-13,2012-06-12
hum,0.723,0.835,0.674,0.6409999999999999,0.645,0.621,0.888,0.8959999999999999,0.7979999999999999,0.7809999999999999,0.878,0.604,0.504,0.47100000000000003,0.449,0.405,0.483,0.5579999999999999,0.614,0.5529999999999999,0.491,0.44799999999999995,0.465,0.525,0.613,0.528,0.491,0.531,0.589
hum5,0.6832,0.6938,0.7382,0.7696,0.7968,0.7982,0.7808,0.7772,0.7384,0.6829999999999999,0.4866,0.4624,0.4732,0.5018,0.5226,0.5398,0.5328,0.5142,0.4964,0.5084,0.5158,0.5244,0.5376,0.5504,0.5466,0.5586,0.5794,0.606,0.6138
hum10,0.7407,0.7373,0.7577,0.754,0.7399,0.7249,0.6809999999999999,0.6319,0.6004,0.5781,0.5132,0.4976,0.4937,0.4991,0.5155,0.5278,0.5286,0.5259,0.5234,0.5275,0.5372,0.5519,0.5718,0.5821,0.5828,0.5926,0.5786,0.5644,0.5503
hum15,0.711,0.685266667,0.667333333,0.6568,0.6509999999999999,0.6505333329999999,0.6282,0.6012,0.577866667,0.5568,0.514066667,0.5065333329999999,0.5083333329999999,0.5162,0.5258666670000001,0.538066667,0.545533333,0.5526,0.553533333,0.5579999999999999,0.5670000000000001,0.560533333,0.555466667,0.550333333,0.544333333,0.5482,0.5450666670000001,0.5368666670000001,0.536266667
hum20,0.6587,0.6446,0.63545,0.6258,0.6168,0.612,0.59825,0.57985,0.5645,0.552,0.5252,0.52475,0.53275,0.5406,0.54915,0.5602,0.5536,0.54515,0.53685,0.53535,0.5401,0.5399,0.53705,0.5398,0.54195,0.53795,0.5361,0.53605,0.52635
hum25,0.62624,0.61736,0.61152,0.60552,0.60096,0.59968,0.58792,0.5756,0.56748,0.5628,0.54548,0.5353600000000001,0.53076,0.52984,0.5328,0.54004,0.5384800000000001,0.5324800000000001,0.53112,0.5352399999999999,0.53352,0.53376,0.5363600000000001,0.5311600000000001,0.52048,0.5132800000000001,0.5092800000000001,0.5032399999999999,0.50024
hum30,0.593966667,0.585766667,0.5831,0.581333333,0.579666667,0.5811,0.572433333,0.563233333,0.5575,0.543166667,0.5116,0.511,0.509,0.5069,0.511266667,0.5196333329999999,0.518466667,0.515,0.5122,0.506933333,0.5021,0.49876666700000005,0.4963,0.491466667,0.48816666700000005,0.48943333299999997,0.4926,0.496666667,0.5033
raf,0.0,0.023333332999999998,0.016666667,0.0,0.0,0.0,0.44,0.128333333,0.0,0.0,0.313333333,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raf5,0.008,0.091333333,0.113666667,0.113666667,0.113666667,0.113666667,0.025666667,0.062666667,0.070666667,0.070666667,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raf10,0.060833332999999996,0.0585,0.08816666699999999,0.092166667,0.092166667,0.092166667,0.048166667,0.035333333,0.035333333,0.035333333,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raf15,0.064111111,0.062555556,0.061444444,0.061444444,0.061444444,0.061444444,0.032111111,0.023555556000000002,0.023555556000000002,0.023555556000000002,0.002666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001222222
raf20,0.048083333,0.046916667,0.046083333,0.046083333,0.046083333,0.046083333,0.024083333,0.017666667,0.017666667,0.017666667,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000916667,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001,0.0010833330000000001
raf25,0.038466667,0.037533332999999995,0.036866667,0.036866667,0.036866667,0.036866667,0.019266667,0.014133333,0.014133333,0.014133333,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007333330000000001,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667,0.000866667
raf30,0.032055556,0.031277778,0.030722222,0.030722222,0.030722222,0.030722222,0.016055556000000002,0.011777778000000001,0.011777778000000001,0.011777778000000001,0.001333333,0.0,0.0,0.0,0.000611111,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.000722222,0.001388889,0.001388889,0.001388889,0.002277778
rfd,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rfd5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rfd10,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rfd15,0.4,0.4,0.333333333,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.2,0.133333333,0.133333333,0.133333333,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rfd20,0.3,0.3,0.25,0.2,0.2,0.2,0.2,0.15,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.1,0.1,0.1
rfd25,0.24,0.24,0.2,0.16,0.16,0.16,0.16,0.12,0.08,0.08,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
rfd30,0.2,0.2,0.166666667,0.133333333,0.133333333,0.133333333,0.133333333,0.1,0.066666667,0.066666667,0.066666667,0.033333333,0.0,0.0,0.0,0.033333333,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.1,0.1,0.1
tav,0.661666667,0.6466666670000001,0.68,0.691666667,0.678333333,0.661666667,0.601666667,0.638333333,0.66,0.643333333,0.615,0.685,0.671666667,0.665,0.66,0.695,0.71,0.688333333,0.653333333,0.675,0.671666667,0.69,0.673333333,0.6466666670000001,0.643333333,0.645,0.663333333,0.64,0.6333333329999999
tav5,0.671666667,0.662666667,0.654333333,0.648,0.6409999999999999,0.6406666670000001,0.6436666670000001,0.639,0.644,0.649666667,0.675333333,0.680333333,0.683666667,0.681333333,0.684333333,0.679666667,0.675666667,0.672666667,0.671333333,0.665,0.659666667,0.654333333,0.6476666670000001,0.645,0.645333333,0.646333333,0.6436666670000001,0.6386666670000001,0.638
tav10,0.656166667,0.653166667,0.6466666670000001,0.6459999999999999,0.645333333,0.6456666670000001,0.6515,0.657166667,0.662166667,0.666666667,0.6775,0.6779999999999999,0.6781666670000001,0.676333333,0.674666667,0.669666667,0.665,0.660166667,0.658166667,0.655166667,0.653,0.649,0.643166667,0.6415,0.640333333,0.638833333,0.636833333,0.6366666670000001,0.6366666670000001
tav15,0.654333333,0.655222222,0.656222222,0.657444444,0.658111111,0.657555556,0.662444444,0.664666667,0.666666667,0.668666667,0.6715555559999999,0.670111111,0.6679999999999999,0.665888889,0.664888889,0.661888889,0.657888889,0.653,0.651444444,0.648555556,0.645777778,0.6426666670000001,0.640333333,0.639444444,0.636888889,0.634,0.629555556,0.627555556,0.624888889
