,2011-10-13,2011-10-12,2011-10-11,2011-10-10,2011-10-09,2011-10-08,2011-10-07,2011-10-06,2011-10-05,2011-10-04,2011-10-03,2011-10-02,2011-10-01,2011-09-30,2011-09-29,2011-09-28,2011-09-27,2011-09-26,2011-09-25,2011-09-24,2011-09-23,2011-09-22,2011-09-21,2011-09-20,2011-09-19,2011-09-18,2011-09-17,2011-09-16,2011-09-15,2011-09-14,2011-09-13
hum,0.514,0.525,0.581,0.696,0.59,0.5529999999999999,0.575,0.541,0.515,0.473,0.44299999999999995,0.42100000000000004,0.489,0.495,0.833,0.526,0.41100000000000003,0.521,0.613,0.5589999999999999,0.499,0.498,0.444,0.445,0.561,0.63,0.6559999999999999,0.6809999999999999,0.688,0.7090000000000001,0.503
hum5,0.589,0.599,0.591,0.5548,0.5314,0.5094,0.4786,0.4682,0.4642,0.5362,0.5528,0.5508,0.5572,0.5808,0.526,0.5206,0.5379999999999999,0.5226,0.489,0.4894,0.5156,0.5472,0.5946,0.6432,0.6728,0.6474,0.6554,0.6734,0.6729999999999999,0.6822,0.6892
hum10,0.5492,0.5388,0.5296,0.5095,0.5338,0.5311,0.5147,0.5127,0.5225,0.5311,0.5367,0.5444,0.5399,0.5349,0.5077,0.5181,0.5426,0.5586,0.5661,0.5811,0.5815,0.6013,0.634,0.6581,0.6775,0.6683,0.6526,0.637,0.6241,0.6008,0.5985
hum15,0.5504,0.5428,0.5388,0.533266667,0.5312,0.5276,0.522466667,0.516,0.511333333,0.5172,0.529666667,0.545333333,0.558133333,0.5710000000000001,0.562733333,0.5612,0.5802,0.596866667,0.601733333,0.6148,0.6174,0.6174666670000001,0.622866667,0.630466667,0.6248,0.6148,0.6098,0.6066,0.6024666670000001,0.601866667,0.618733333
hum20,0.54295,0.5416,0.53475,0.5222,0.52075,0.5246,0.52865,0.53565,0.5443,0.5561,0.5591,0.57285,0.58695,0.5965,0.5926,0.5932,0.5976,0.5978,0.5951,0.59095,0.59,0.59415,0.6036,0.61265,0.6196,0.6259,0.6265,0.6222,0.61655,0.60975,0.61355
hum25,0.5374800000000001,0.54272,0.54672,0.5464,0.55116,0.54916,0.5539999999999999,0.5632,0.57004,0.58132,0.58512,0.58824,0.58968,0.59224,0.57796,0.57612,0.58292,0.5874,0.58792,0.5935600000000001,0.6038399999999999,0.61064,0.61668,0.62188,0.62236,0.62032,0.61812,0.61944,0.61928,0.62168,0.6318
hum30,0.539033333,0.5383,0.542133333,0.5446333329999999,0.5478333329999999,0.554566667,0.553333333,0.5519333329999999,0.552266667,0.555133333,0.556233333,0.5582,0.561266667,0.565866667,0.5589666670000001,0.564766667,0.5762666670000001,0.5811666670000001,0.580566667,0.5811,0.583566667,0.5862666670000001,0.5915,0.6004666670000001,0.6045666670000001,0.6092,0.612533333,0.614266667,0.6217,0.6273333329999999,0.6396666670000001
raf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09833333300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666670000000001,0.0016666670000000001,0.0,0.0,0.0,0.0
raf5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019666667,0.019666667,0.019666667,0.019666667,0.019666667,0.0,0.0,0.0,0.0,0.0,0.0,0.00033333300000000006,0.000666667,0.000666667,0.000666667,0.000666667,0.00033333300000000006,0.0,0.0,0.0,0.002666667,0.002666667
raf10,0.0,0.0,0.0,0.0,0.009833333,0.009833333,0.009833333,0.009833333,0.009833333,0.009833333,0.009833333,0.009833333,0.009833333,0.009833333,0.0,0.000166667,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.0016666670000000001,0.0015,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333
raf15,0.006555556,0.006555556,0.006555556,0.006555556,0.006555556,0.006555556,0.006555556,0.006555556,0.006555556,0.006555556,0.006666666999999999,0.006777778000000001,0.006777778000000001,0.006777778000000001,0.000222222,0.000222222,0.000222222,0.000222222,0.000222222,0.0011111110000000001,0.0011111110000000001,0.0011111110000000001,0.0011111110000000001,0.0011111110000000001,0.0011111110000000001,0.001,0.0008888889999999999,0.0008888889999999999,0.0008888889999999999,0.002444444,0.002444444
raf20,0.004916667,0.004916667,0.004916667,0.004916667,0.004916667,0.005,0.005083333,0.005083333,0.005083333,0.005083333,0.005083333,0.005083333,0.005083333,0.005083333,0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,0.002,0.0019166670000000002,0.001833333,0.001833333,0.001833333,0.001833333,0.001833333
raf25,0.004,0.004066667,0.004066667,0.004066667,0.004066667,0.004066667,0.004066667,0.004066667,0.004066667,0.0046,0.0046,0.0046,0.0046,0.0046,0.000666667,0.000666667,0.000666667,0.000666667,0.000666667,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0015333329999999998,0.001466667,0.001466667,0.001466667,0.0016,0.0016
raf30,0.0033888890000000004,0.0033888890000000004,0.0033888890000000004,0.0033888890000000004,0.0033888890000000004,0.003833333,0.003833333,0.003833333,0.003833333,0.003833333,0.003833333,0.003833333,0.003833333,0.003833333,0.000555556,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001388889,0.001333333,0.001333333,0.002555556,0.005388889,0.0054444440000000005
rfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
